"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 13 00:48:40 GMT 2024","Mon May 13 00:48:41 GMT 2024","1578","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page after burger button click",""
"broken","Mon May 13 00:48:37 GMT 2024","Mon May 13 00:48:39 GMT 2024","1648","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page after burger button click",""
"broken","Mon May 13 00:48:39 GMT 2024","Mon May 13 00:48:40 GMT 2024","716","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page",""
"failed","Mon May 13 00:47:28 GMT 2024","Mon May 13 00:47:29 GMT 2024","1041","Tests","test_Accessibility","TestAccessibility","","","Check the home page accessibility",""
"passed","Mon May 13 00:48:18 GMT 2024","Mon May 13 00:48:18 GMT 2024","160","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Mon May 13 00:48:21 GMT 2024","Mon May 13 00:48:21 GMT 2024","202","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"failed","Mon May 13 00:48:25 GMT 2024","Mon May 13 00:48:26 GMT 2024","866","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"passed","Mon May 13 00:48:18 GMT 2024","Mon May 13 00:48:18 GMT 2024","523","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"failed","Mon May 13 00:47:26 GMT 2024","Mon May 13 00:47:28 GMT 2024","1720","Tests","test_Accessibility","TestAccessibility","","","Check the landing page accessibility",""
"broken","Mon May 13 00:48:36 GMT 2024","Mon May 13 00:48:37 GMT 2024","777","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page",""
"passed","Mon May 13 00:47:45 GMT 2024","Mon May 13 00:47:45 GMT 2024","210","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"passed","Mon May 13 00:48:21 GMT 2024","Mon May 13 00:48:21 GMT 2024","217","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"failed","Mon May 13 00:48:32 GMT 2024","Mon May 13 00:48:33 GMT 2024","1102","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"passed","Mon May 13 00:48:19 GMT 2024","Mon May 13 00:48:20 GMT 2024","939","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Mon May 13 00:48:28 GMT 2024","Mon May 13 00:48:32 GMT 2024","3973","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"passed","Mon May 13 00:48:33 GMT 2024","Mon May 13 00:48:35 GMT 2024","2227","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"passed","Mon May 13 00:47:43 GMT 2024","Mon May 13 00:47:44 GMT 2024","844","Tests","test_ContactList","TestContactList","","","Contact list displays wright names",""
"passed","Mon May 13 00:48:26 GMT 2024","Mon May 13 00:48:28 GMT 2024","2001","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"passed","Mon May 13 00:47:44 GMT 2024","Mon May 13 00:47:45 GMT 2024","852","Tests","test_EmailReader","TestEmailReader","","","Check the latest notification email subject",""
"passed","Mon May 13 00:48:19 GMT 2024","Mon May 13 00:48:19 GMT 2024","168","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"failed","Mon May 13 00:48:22 GMT 2024","Mon May 13 00:48:25 GMT 2024","2846","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"passed","Mon May 13 00:48:14 GMT 2024","Mon May 13 00:48:18 GMT 2024","3683","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"passed","Mon May 13 00:48:18 GMT 2024","Mon May 13 00:48:19 GMT 2024","181","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Mon May 13 00:47:29 GMT 2024","Mon May 13 00:47:42 GMT 2024","12018","Tests","test_Components","TestComponents","","","test_1[Chrome]",""
"passed","Mon May 13 00:47:42 GMT 2024","Mon May 13 00:47:43 GMT 2024","1138","Tests","test_Components","TestComponents","","","test_2[Chrome]",""
"failed","Mon May 13 00:48:19 GMT 2024","Mon May 13 00:48:19 GMT 2024","359","Tests","test_Login","TestLogin","","","Successful login",""
"passed","Mon May 13 00:48:21 GMT 2024","Mon May 13 00:48:22 GMT 2024","930","Tests","test_Login","TestLogin","","","Successful login",""
"broken","Mon May 13 00:48:36 GMT 2024","Mon May 13 00:48:36 GMT 2024","750","Tests","test_VisualTests","TestVisual","","","Visual check of the Landing page",""
"passed","Mon May 13 00:48:20 GMT 2024","Mon May 13 00:48:21 GMT 2024","186","Tests","test_Login","TestLogin","","","Unsuccessful login",""
