"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 14 00:46:27 GMT 2024","Tue May 14 00:46:28 GMT 2024","166","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Tue May 14 00:46:24 GMT 2024","Tue May 14 00:46:27 GMT 2024","2537","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"passed","Tue May 14 00:48:00 GMT 2024","Tue May 14 00:48:03 GMT 2024","2289","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"failed","Tue May 14 00:46:28 GMT 2024","Tue May 14 00:46:28 GMT 2024","350","Tests","test_Login","TestLogin","","","Successful login",""
"passed","Tue May 14 00:46:28 GMT 2024","Tue May 14 00:46:28 GMT 2024","168","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Tue May 14 00:46:31 GMT 2024","Tue May 14 00:47:04 GMT 2024","33749","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"broken","Tue May 14 00:48:07 GMT 2024","Tue May 14 00:48:08 GMT 2024","1603","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page after burger button click",""
"broken","Tue May 14 00:45:55 GMT 2024","Tue May 14 00:46:07 GMT 2024","12132","Tests","test_Components","TestComponents","","","test_1[Chrome]",""
"broken","Tue May 14 00:47:17 GMT 2024","Tue May 14 00:47:50 GMT 2024","33377","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"passed","Tue May 14 00:46:12 GMT 2024","Tue May 14 00:46:12 GMT 2024","169","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"broken","Tue May 14 00:48:04 GMT 2024","Tue May 14 00:48:06 GMT 2024","1622","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page after burger button click",""
"broken","Tue May 14 00:48:03 GMT 2024","Tue May 14 00:48:04 GMT 2024","724","Tests","test_VisualTests","TestVisual","","","Visual check of the Landing page",""
"passed","Tue May 14 00:46:07 GMT 2024","Tue May 14 00:46:09 GMT 2024","1491","Tests","test_Components","TestComponents","","","test_2[Chrome]",""
"passed","Tue May 14 00:46:27 GMT 2024","Tue May 14 00:46:27 GMT 2024","373","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Tue May 14 00:46:29 GMT 2024","Tue May 14 00:46:29 GMT 2024","199","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Tue May 14 00:46:29 GMT 2024","Tue May 14 00:46:30 GMT 2024","199","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Tue May 14 00:47:04 GMT 2024","Tue May 14 00:47:14 GMT 2024","10026","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"broken","Tue May 14 00:47:50 GMT 2024","Tue May 14 00:48:00 GMT 2024","10060","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"passed","Tue May 14 00:46:28 GMT 2024","Tue May 14 00:46:29 GMT 2024","761","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Tue May 14 00:46:29 GMT 2024","Tue May 14 00:46:29 GMT 2024","187","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Tue May 14 00:48:06 GMT 2024","Tue May 14 00:48:07 GMT 2024","734","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page",""
"broken","Tue May 14 00:48:04 GMT 2024","Tue May 14 00:48:04 GMT 2024","781","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page",""
"passed","Tue May 14 00:46:11 GMT 2024","Tue May 14 00:46:12 GMT 2024","790","Tests","test_EmailReader","TestEmailReader","","","Check the latest notification email subject",""
"failed","Tue May 14 00:45:54 GMT 2024","Tue May 14 00:45:54 GMT 2024","376","Tests","test_Accessibility","TestAccessibility","","","Check the landing page accessibility",""
"failed","Tue May 14 00:45:54 GMT 2024","Tue May 14 00:45:55 GMT 2024","419","Tests","test_Accessibility","TestAccessibility","","","Check the home page accessibility",""
"passed","Tue May 14 00:46:10 GMT 2024","Tue May 14 00:46:11 GMT 2024","346","Tests","test_ContactList","TestContactList","","","Contact list displays wright names",""
"passed","Tue May 14 00:46:30 GMT 2024","Tue May 14 00:46:30 GMT 2024","733","Tests","test_Login","TestLogin","","","Successful login",""
"passed","Tue May 14 00:47:14 GMT 2024","Tue May 14 00:47:17 GMT 2024","2168","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"passed","Tue May 14 00:46:27 GMT 2024","Tue May 14 00:46:27 GMT 2024","157","Tests","test_Login","TestLogin","","","Unsuccessful login",""
