"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 19 00:51:01 GMT 2024","Sun May 19 00:51:01 GMT 2024","211","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"passed","Sun May 19 00:51:15 GMT 2024","Sun May 19 00:51:15 GMT 2024","178","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Sun May 19 00:52:55 GMT 2024","Sun May 19 00:52:57 GMT 2024","1597","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page after burger button click",""
"passed","Sun May 19 00:51:15 GMT 2024","Sun May 19 00:51:15 GMT 2024","183","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Sun May 19 00:52:54 GMT 2024","Sun May 19 00:52:55 GMT 2024","706","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page",""
"failed","Sun May 19 00:51:17 GMT 2024","Sun May 19 00:51:18 GMT 2024","679","Tests","test_Login","TestLogin","","","Successful login",""
"passed","Sun May 19 00:51:12 GMT 2024","Sun May 19 00:51:14 GMT 2024","2134","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"passed","Sun May 19 00:52:48 GMT 2024","Sun May 19 00:52:51 GMT 2024","2559","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"passed","Sun May 19 00:51:00 GMT 2024","Sun May 19 00:51:01 GMT 2024","795","Tests","test_EmailReader","TestEmailReader","","","Check the latest notification email subject",""
"passed","Sun May 19 00:51:16 GMT 2024","Sun May 19 00:51:16 GMT 2024","719","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Sun May 19 00:52:52 GMT 2024","Sun May 19 00:52:53 GMT 2024","771","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page",""
"passed","Sun May 19 00:51:14 GMT 2024","Sun May 19 00:51:15 GMT 2024","165","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Sun May 19 00:52:53 GMT 2024","Sun May 19 00:52:54 GMT 2024","1637","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page after burger button click",""
"passed","Sun May 19 00:50:59 GMT 2024","Sun May 19 00:51:00 GMT 2024","780","Tests","test_ContactList","TestContactList","","","Contact list displays wright names",""
"passed","Sun May 19 00:51:16 GMT 2024","Sun May 19 00:51:17 GMT 2024","202","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Sun May 19 00:51:16 GMT 2024","Sun May 19 00:51:16 GMT 2024","184","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Sun May 19 00:50:58 GMT 2024","Sun May 19 00:50:59 GMT 2024","1148","Tests","test_Components","TestComponents","","","test_2[Chrome]",""
"passed","Sun May 19 00:52:01 GMT 2024","Sun May 19 00:52:04 GMT 2024","2624","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"broken","Sun May 19 00:51:18 GMT 2024","Sun May 19 00:51:51 GMT 2024","33514","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"broken","Sun May 19 00:52:38 GMT 2024","Sun May 19 00:52:48 GMT 2024","10020","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"passed","Sun May 19 00:51:17 GMT 2024","Sun May 19 00:51:17 GMT 2024","198","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"failed","Sun May 19 00:50:45 GMT 2024","Sun May 19 00:50:45 GMT 2024","363","Tests","test_Accessibility","TestAccessibility","","","Check the home page accessibility",""
"broken","Sun May 19 00:52:51 GMT 2024","Sun May 19 00:52:52 GMT 2024","742","Tests","test_VisualTests","TestVisual","","","Visual check of the Landing page",""
"broken","Sun May 19 00:51:51 GMT 2024","Sun May 19 00:52:01 GMT 2024","10010","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"failed","Sun May 19 00:51:15 GMT 2024","Sun May 19 00:51:15 GMT 2024","349","Tests","test_Login","TestLogin","","","Successful login",""
"broken","Sun May 19 00:50:45 GMT 2024","Sun May 19 00:50:58 GMT 2024","12178","Tests","test_Components","TestComponents","","","test_1[Chrome]",""
"passed","Sun May 19 00:51:14 GMT 2024","Sun May 19 00:51:14 GMT 2024","435","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"failed","Sun May 19 00:50:44 GMT 2024","Sun May 19 00:50:45 GMT 2024","511","Tests","test_Accessibility","TestAccessibility","","","Check the landing page accessibility",""
"broken","Sun May 19 00:52:04 GMT 2024","Sun May 19 00:52:38 GMT 2024","33880","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
