"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed May 08 08:21:46 GMT 2024","Wed May 08 08:21:47 GMT 2024","1254","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page after burger button click",""
"skipped","Wed May 08 08:21:44 GMT 2024","Wed May 08 08:21:44 GMT 2024","279","Tests","test_VisualTests","TestVisual","","","Visual check of the Landing page",""
"failed","Wed May 08 08:21:17 GMT 2024","Wed May 08 08:21:20 GMT 2024","2701","Tests","test_Accessibility","TestAccessibility","","","Check the landing page accessibility",""
"passed","Wed May 08 08:21:38 GMT 2024","Wed May 08 08:21:38 GMT 2024","167","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"skipped","Wed May 08 08:21:44 GMT 2024","Wed May 08 08:21:46 GMT 2024","1289","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page after burger button click",""
"passed","Wed May 08 08:21:37 GMT 2024","Wed May 08 08:21:37 GMT 2024","184","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"broken","Wed May 08 08:21:21 GMT 2024","Wed May 08 08:21:33 GMT 2024","12497","Tests","test_Components","TestComponents","","","test_1[Chrome]",""
"passed","Wed May 08 08:21:38 GMT 2024","Wed May 08 08:21:38 GMT 2024","158","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Wed May 08 08:21:41 GMT 2024","Wed May 08 08:21:43 GMT 2024","2007","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"skipped","Wed May 08 08:21:46 GMT 2024","Wed May 08 08:21:46 GMT 2024","393","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page",""
"skipped","Wed May 08 08:21:44 GMT 2024","Wed May 08 08:21:44 GMT 2024","454","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page",""
"passed","Wed May 08 08:21:38 GMT 2024","Wed May 08 08:21:38 GMT 2024","345","Tests","test_Login","TestLogin","","","Successful login",""
"failed","Wed May 08 08:21:20 GMT 2024","Wed May 08 08:21:21 GMT 2024","830","Tests","test_Accessibility","TestAccessibility","","","Check the home page accessibility",""
"passed","Wed May 08 08:21:33 GMT 2024","Wed May 08 08:21:35 GMT 2024","1363","Tests","test_Components","TestComponents","","","test_2[Chrome]",""
"passed","Wed May 08 08:21:36 GMT 2024","Wed May 08 08:21:37 GMT 2024","634","Tests","test_EmailReader","TestEmailReader","","","Check the latest notification email subject",""
"passed","Wed May 08 08:21:38 GMT 2024","Wed May 08 08:21:38 GMT 2024","167","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Wed May 08 08:21:35 GMT 2024","Wed May 08 08:21:36 GMT 2024","747","Tests","test_ContactList","TestContactList","","","Contact list displays wright names",""
"passed","Wed May 08 08:21:37 GMT 2024","Wed May 08 08:21:38 GMT 2024","424","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"failed","Wed May 08 08:21:41 GMT 2024","Wed May 08 08:21:41 GMT 2024","836","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"failed","Wed May 08 08:21:39 GMT 2024","Wed May 08 08:21:41 GMT 2024","1974","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
