"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Oct 04 10:01:51 GMT 2024","Fri Oct 04 10:01:53 GMT 2024","1455","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page",""
"broken","Fri Oct 04 10:01:55 GMT 2024","Fri Oct 04 10:01:57 GMT 2024","1366","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page",""
"passed","Fri Oct 04 10:01:04 GMT 2024","Fri Oct 04 10:01:04 GMT 2024","238","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Fri Oct 04 10:01:03 GMT 2024","Fri Oct 04 10:01:03 GMT 2024","474","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Fri Oct 04 10:01:53 GMT 2024","Fri Oct 04 10:01:55 GMT 2024","2350","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page after burger button click",""
"passed","Fri Oct 04 10:01:02 GMT 2024","Fri Oct 04 10:01:02 GMT 2024","588","Tests","test_EmailReader","TestEmailReader","","","Check the latest notification email subject",""
"broken","Fri Oct 04 10:01:37 GMT 2024","Fri Oct 04 10:01:47 GMT 2024","10015","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"passed","Fri Oct 04 10:01:02 GMT 2024","Fri Oct 04 10:01:03 GMT 2024","231","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"failed","Fri Oct 04 10:01:04 GMT 2024","Fri Oct 04 10:01:05 GMT 2024","701","Tests","test_Login","TestLogin","","","Successful login",""
"failed","Fri Oct 04 10:00:59 GMT 2024","Fri Oct 04 10:01:00 GMT 2024","895","Tests","test_Accessibility","TestAccessibility","","","Check the home page accessibility",""
"broken","Fri Oct 04 10:01:57 GMT 2024","Fri Oct 04 10:01:59 GMT 2024","2291","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page after burger button click",""
"passed","Fri Oct 04 10:01:04 GMT 2024","Fri Oct 04 10:01:04 GMT 2024","204","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Fri Oct 04 10:01:50 GMT 2024","Fri Oct 04 10:01:51 GMT 2024","1462","Tests","test_VisualTests","TestVisual","","","Visual check of the Landing page",""
"failed","Fri Oct 04 10:00:58 GMT 2024","Fri Oct 04 10:00:59 GMT 2024","1309","Tests","test_Accessibility","TestAccessibility","","","Check the landing page accessibility",""
"passed","Fri Oct 04 10:01:47 GMT 2024","Fri Oct 04 10:01:49 GMT 2024","1796","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"broken","Fri Oct 04 10:01:05 GMT 2024","Fri Oct 04 10:01:37 GMT 2024","32324","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"passed","Fri Oct 04 10:01:01 GMT 2024","Fri Oct 04 10:01:01 GMT 2024","600","Tests","test_ContactList","TestContactList","","","Contact list displays wright names",""
"passed","Fri Oct 04 10:01:03 GMT 2024","Fri Oct 04 10:01:04 GMT 2024","182","Tests","test_Login","TestLogin","","","Unsuccessful login",""
