"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 18 00:46:25 GMT 2024","Sat May 18 00:46:25 GMT 2024","195","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Sat May 18 00:46:24 GMT 2024","Sat May 18 00:46:24 GMT 2024","169","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Sat May 18 00:47:09 GMT 2024","Sat May 18 00:47:11 GMT 2024","1983","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"broken","Sat May 18 00:47:43 GMT 2024","Sat May 18 00:47:53 GMT 2024","10048","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"passed","Sat May 18 00:46:21 GMT 2024","Sat May 18 00:46:23 GMT 2024","1593","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"passed","Sat May 18 00:46:10 GMT 2024","Sat May 18 00:46:10 GMT 2024","187","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"broken","Sat May 18 00:47:59 GMT 2024","Sat May 18 00:48:00 GMT 2024","695","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page",""
"passed","Sat May 18 00:46:23 GMT 2024","Sat May 18 00:46:24 GMT 2024","157","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Sat May 18 00:46:23 GMT 2024","Sat May 18 00:46:23 GMT 2024","419","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Sat May 18 00:47:56 GMT 2024","Sat May 18 00:47:57 GMT 2024","732","Tests","test_VisualTests","TestVisual","","","Visual check of the Landing page",""
"passed","Sat May 18 00:46:06 GMT 2024","Sat May 18 00:46:08 GMT 2024","1208","Tests","test_Components","TestComponents","","","test_2[Chrome]",""
"passed","Sat May 18 00:46:09 GMT 2024","Sat May 18 00:46:10 GMT 2024","893","Tests","test_EmailReader","TestEmailReader","","","Check the latest notification email subject",""
"broken","Sat May 18 00:47:11 GMT 2024","Sat May 18 00:47:43 GMT 2024","32377","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"passed","Sat May 18 00:46:08 GMT 2024","Sat May 18 00:46:09 GMT 2024","740","Tests","test_ContactList","TestContactList","","","Contact list displays wright names",""
"broken","Sat May 18 00:46:59 GMT 2024","Sat May 18 00:47:09 GMT 2024","10034","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"failed","Sat May 18 00:45:53 GMT 2024","Sat May 18 00:45:54 GMT 2024","703","Tests","test_Accessibility","TestAccessibility","","","Check the home page accessibility",""
"broken","Sat May 18 00:46:26 GMT 2024","Sat May 18 00:46:59 GMT 2024","32338","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"passed","Sat May 18 00:47:54 GMT 2024","Sat May 18 00:47:56 GMT 2024","2061","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"passed","Sat May 18 00:46:26 GMT 2024","Sat May 18 00:46:26 GMT 2024","561","Tests","test_Login","TestLogin","","","Successful login",""
"broken","Sat May 18 00:47:57 GMT 2024","Sat May 18 00:47:57 GMT 2024","765","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page",""
"passed","Sat May 18 00:46:25 GMT 2024","Sat May 18 00:46:26 GMT 2024","192","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Sat May 18 00:48:00 GMT 2024","Sat May 18 00:48:01 GMT 2024","1616","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page after burger button click",""
"passed","Sat May 18 00:46:24 GMT 2024","Sat May 18 00:46:24 GMT 2024","166","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Sat May 18 00:46:25 GMT 2024","Sat May 18 00:46:25 GMT 2024","180","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Sat May 18 00:46:24 GMT 2024","Sat May 18 00:46:25 GMT 2024","658","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"failed","Sat May 18 00:46:24 GMT 2024","Sat May 18 00:46:24 GMT 2024","386","Tests","test_Login","TestLogin","","","Successful login",""
"failed","Sat May 18 00:45:51 GMT 2024","Sat May 18 00:45:53 GMT 2024","2302","Tests","test_Accessibility","TestAccessibility","","","Check the landing page accessibility",""
"broken","Sat May 18 00:47:57 GMT 2024","Sat May 18 00:47:59 GMT 2024","1632","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page after burger button click",""
"broken","Sat May 18 00:45:54 GMT 2024","Sat May 18 00:46:06 GMT 2024","12274","Tests","test_Components","TestComponents","","","test_1[Chrome]",""
