"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun May 26 00:53:17 GMT 2024","Sun May 26 00:53:27 GMT 2024","10037","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"passed","Sun May 26 00:51:57 GMT 2024","Sun May 26 00:51:59 GMT 2024","1366","Tests","test_Components","TestComponents","","","test_2[Chrome]",""
"passed","Sun May 26 00:52:41 GMT 2024","Sun May 26 00:52:41 GMT 2024","166","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Sun May 26 00:52:45 GMT 2024","Sun May 26 00:53:17 GMT 2024","32319","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"passed","Sun May 26 00:52:41 GMT 2024","Sun May 26 00:52:41 GMT 2024","167","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Sun May 26 00:52:02 GMT 2024","Sun May 26 00:52:02 GMT 2024","180","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"passed","Sun May 26 00:52:41 GMT 2024","Sun May 26 00:52:41 GMT 2024","157","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Sun May 26 00:54:19 GMT 2024","Sun May 26 00:54:21 GMT 2024","1596","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page after burger button click",""
"failed","Sun May 26 00:52:41 GMT 2024","Sun May 26 00:52:42 GMT 2024","413","Tests","test_Login","TestLogin","","","Successful login",""
"passed","Sun May 26 00:54:14 GMT 2024","Sun May 26 00:54:17 GMT 2024","3055","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"passed","Sun May 26 00:52:43 GMT 2024","Sun May 26 00:52:44 GMT 2024","194","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Sun May 26 00:52:01 GMT 2024","Sun May 26 00:52:02 GMT 2024","812","Tests","test_EmailReader","TestEmailReader","","","Check the latest notification email subject",""
"broken","Sun May 26 00:54:21 GMT 2024","Sun May 26 00:54:21 GMT 2024","699","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page",""
"broken","Sun May 26 00:53:29 GMT 2024","Sun May 26 00:54:04 GMT 2024","34648","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"passed","Sun May 26 00:52:42 GMT 2024","Sun May 26 00:52:43 GMT 2024","888","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Sun May 26 00:54:04 GMT 2024","Sun May 26 00:54:14 GMT 2024","10044","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"broken","Sun May 26 00:51:45 GMT 2024","Sun May 26 00:51:57 GMT 2024","12644","Tests","test_Components","TestComponents","","","test_1[Chrome]",""
"passed","Sun May 26 00:52:35 GMT 2024","Sun May 26 00:52:40 GMT 2024","4823","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"passed","Sun May 26 00:52:43 GMT 2024","Sun May 26 00:52:43 GMT 2024","180","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Sun May 26 00:54:21 GMT 2024","Sun May 26 00:54:23 GMT 2024","1577","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page after burger button click",""
"passed","Sun May 26 00:52:40 GMT 2024","Sun May 26 00:52:41 GMT 2024","439","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Sun May 26 00:54:17 GMT 2024","Sun May 26 00:54:18 GMT 2024","692","Tests","test_VisualTests","TestVisual","","","Visual check of the Landing page",""
"passed","Sun May 26 00:52:00 GMT 2024","Sun May 26 00:52:01 GMT 2024","419","Tests","test_ContactList","TestContactList","","","Contact list displays wright names",""
"passed","Sun May 26 00:52:43 GMT 2024","Sun May 26 00:52:43 GMT 2024","197","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Sun May 26 00:52:44 GMT 2024","Sun May 26 00:52:45 GMT 2024","984","Tests","test_Login","TestLogin","","","Successful login",""
"failed","Sun May 26 00:51:43 GMT 2024","Sun May 26 00:51:44 GMT 2024","1068","Tests","test_Accessibility","TestAccessibility","","","Check the home page accessibility",""
"failed","Sun May 26 00:51:41 GMT 2024","Sun May 26 00:51:43 GMT 2024","2656","Tests","test_Accessibility","TestAccessibility","","","Check the landing page accessibility",""
"passed","Sun May 26 00:53:27 GMT 2024","Sun May 26 00:53:29 GMT 2024","2043","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"broken","Sun May 26 00:54:18 GMT 2024","Sun May 26 00:54:19 GMT 2024","765","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page",""
