"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 17 00:46:16 GMT 2024","Fri May 17 00:46:16 GMT 2024","632","Tests","test_Accessibility","TestAccessibility","","","Check the landing page accessibility",""
"passed","Fri May 17 00:46:32 GMT 2024","Fri May 17 00:46:32 GMT 2024","898","Tests","test_EmailReader","TestEmailReader","","","Check the latest notification email subject",""
"passed","Fri May 17 00:46:51 GMT 2024","Fri May 17 00:46:52 GMT 2024","645","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Fri May 17 00:48:26 GMT 2024","Fri May 17 00:48:26 GMT 2024","794","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page",""
"failed","Fri May 17 00:46:16 GMT 2024","Fri May 17 00:46:17 GMT 2024","489","Tests","test_Accessibility","TestAccessibility","","","Check the home page accessibility",""
"passed","Fri May 17 00:46:30 GMT 2024","Fri May 17 00:46:31 GMT 2024","1153","Tests","test_Components","TestComponents","","","test_2[Chrome]",""
"passed","Fri May 17 00:46:51 GMT 2024","Fri May 17 00:46:51 GMT 2024","296","Tests","test_Login","TestLogin","","","Successful login",""
"broken","Fri May 17 00:48:28 GMT 2024","Fri May 17 00:48:29 GMT 2024","728","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page",""
"broken","Fri May 17 00:48:29 GMT 2024","Fri May 17 00:48:31 GMT 2024","1610","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page after burger button click",""
"passed","Fri May 17 00:46:50 GMT 2024","Fri May 17 00:46:50 GMT 2024","389","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Fri May 17 00:46:51 GMT 2024","Fri May 17 00:46:51 GMT 2024","170","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Fri May 17 00:47:26 GMT 2024","Fri May 17 00:47:36 GMT 2024","10058","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"passed","Fri May 17 00:46:48 GMT 2024","Fri May 17 00:46:50 GMT 2024","1815","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"passed","Fri May 17 00:47:36 GMT 2024","Fri May 17 00:47:39 GMT 2024","2076","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"passed","Fri May 17 00:46:53 GMT 2024","Fri May 17 00:46:53 GMT 2024","196","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Fri May 17 00:48:27 GMT 2024","Fri May 17 00:48:28 GMT 2024","1637","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page after burger button click",""
"passed","Fri May 17 00:46:31 GMT 2024","Fri May 17 00:46:31 GMT 2024","445","Tests","test_ContactList","TestContactList","","","Contact list displays wright names",""
"broken","Fri May 17 00:47:39 GMT 2024","Fri May 17 00:48:12 GMT 2024","33603","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"passed","Fri May 17 00:48:22 GMT 2024","Fri May 17 00:48:25 GMT 2024","2235","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"broken","Fri May 17 00:46:17 GMT 2024","Fri May 17 00:46:30 GMT 2024","12341","Tests","test_Components","TestComponents","","","test_1[Chrome]",""
"passed","Fri May 17 00:46:52 GMT 2024","Fri May 17 00:46:52 GMT 2024","185","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"failed","Fri May 17 00:46:53 GMT 2024","Fri May 17 00:46:53 GMT 2024","709","Tests","test_Login","TestLogin","","","Successful login",""
"broken","Fri May 17 00:46:54 GMT 2024","Fri May 17 00:47:26 GMT 2024","32734","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"broken","Fri May 17 00:48:25 GMT 2024","Fri May 17 00:48:26 GMT 2024","700","Tests","test_VisualTests","TestVisual","","","Visual check of the Landing page",""
"broken","Fri May 17 00:48:12 GMT 2024","Fri May 17 00:48:22 GMT 2024","10047","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"passed","Fri May 17 00:46:51 GMT 2024","Fri May 17 00:46:51 GMT 2024","170","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Fri May 17 00:46:50 GMT 2024","Fri May 17 00:46:51 GMT 2024","162","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Fri May 17 00:46:33 GMT 2024","Fri May 17 00:46:33 GMT 2024","178","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"passed","Fri May 17 00:46:52 GMT 2024","Fri May 17 00:46:53 GMT 2024","197","Tests","test_Login","TestLogin","","","Unsuccessful login",""
