"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 29 00:49:02 GMT 2024","Sat Jun 29 00:49:02 GMT 2024","173","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Sat Jun 29 00:50:35 GMT 2024","Sat Jun 29 00:50:36 GMT 2024","733","Tests","test_VisualTests","TestVisual","","","Visual check of the Landing page",""
"broken","Sat Jun 29 00:48:34 GMT 2024","Sat Jun 29 00:48:46 GMT 2024","12274","Tests","test_Components","TestComponents","","","test_1[Chrome]",""
"passed","Sat Jun 29 00:49:02 GMT 2024","Sat Jun 29 00:49:02 GMT 2024","171","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Sat Jun 29 00:48:46 GMT 2024","Sat Jun 29 00:48:47 GMT 2024","1160","Tests","test_Components","TestComponents","","","test_2[Chrome]",""
"broken","Sat Jun 29 00:49:38 GMT 2024","Sat Jun 29 00:49:48 GMT 2024","10049","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"passed","Sat Jun 29 00:49:48 GMT 2024","Sat Jun 29 00:49:50 GMT 2024","2113","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"passed","Sat Jun 29 00:48:49 GMT 2024","Sat Jun 29 00:48:50 GMT 2024","614","Tests","test_ContactList","TestContactList","","","Contact list displays wright names",""
"passed","Sat Jun 29 00:49:04 GMT 2024","Sat Jun 29 00:49:04 GMT 2024","489","Tests","test_Login","TestLogin","","","Successful login",""
"passed","Sat Jun 29 00:48:59 GMT 2024","Sat Jun 29 00:49:01 GMT 2024","1393","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"broken","Sat Jun 29 00:50:23 GMT 2024","Sat Jun 29 00:50:33 GMT 2024","10010","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"broken","Sat Jun 29 00:50:37 GMT 2024","Sat Jun 29 00:50:39 GMT 2024","1581","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page after burger button click",""
"passed","Sat Jun 29 00:49:01 GMT 2024","Sat Jun 29 00:49:01 GMT 2024","427","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Sat Jun 29 00:48:50 GMT 2024","Sat Jun 29 00:48:51 GMT 2024","905","Tests","test_EmailReader","TestEmailReader","","","Check the latest notification email subject",""
"passed","Sat Jun 29 00:49:01 GMT 2024","Sat Jun 29 00:49:02 GMT 2024","159","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Sat Jun 29 00:50:39 GMT 2024","Sat Jun 29 00:50:39 GMT 2024","701","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page",""
"passed","Sat Jun 29 00:49:02 GMT 2024","Sat Jun 29 00:49:03 GMT 2024","705","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Sat Jun 29 00:48:51 GMT 2024","Sat Jun 29 00:48:52 GMT 2024","197","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"passed","Sat Jun 29 00:49:02 GMT 2024","Sat Jun 29 00:49:02 GMT 2024","317","Tests","test_Login","TestLogin","","","Successful login",""
"passed","Sat Jun 29 00:50:33 GMT 2024","Sat Jun 29 00:50:35 GMT 2024","1936","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"broken","Sat Jun 29 00:49:04 GMT 2024","Sat Jun 29 00:49:38 GMT 2024","33071","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"broken","Sat Jun 29 00:49:50 GMT 2024","Sat Jun 29 00:50:23 GMT 2024","33251","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"failed","Sat Jun 29 00:48:32 GMT 2024","Sat Jun 29 00:48:33 GMT 2024","1404","Tests","test_Accessibility","TestAccessibility","","","Check the landing page accessibility",""
"passed","Sat Jun 29 00:49:03 GMT 2024","Sat Jun 29 00:49:03 GMT 2024","187","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Sat Jun 29 00:49:04 GMT 2024","Sat Jun 29 00:49:04 GMT 2024","200","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Sat Jun 29 00:50:39 GMT 2024","Sat Jun 29 00:50:41 GMT 2024","1586","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page after burger button click",""
"passed","Sat Jun 29 00:49:03 GMT 2024","Sat Jun 29 00:49:04 GMT 2024","202","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"failed","Sat Jun 29 00:48:33 GMT 2024","Sat Jun 29 00:48:34 GMT 2024","622","Tests","test_Accessibility","TestAccessibility","","","Check the home page accessibility",""
"broken","Sat Jun 29 00:50:36 GMT 2024","Sat Jun 29 00:50:37 GMT 2024","754","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page",""
