"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 27 00:49:07 GMT 2024","Mon May 27 00:49:40 GMT 2024","32655","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"passed","Mon May 27 00:48:12 GMT 2024","Mon May 27 00:48:14 GMT 2024","1204","Tests","test_ContactList","TestContactList","","","Contact list displays wright names",""
"broken","Mon May 27 00:49:53 GMT 2024","Mon May 27 00:49:54 GMT 2024","770","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page",""
"passed","Mon May 27 00:48:14 GMT 2024","Mon May 27 00:48:15 GMT 2024","747","Tests","test_EmailReader","TestEmailReader","","","Check the latest notification email subject",""
"broken","Mon May 27 00:49:52 GMT 2024","Mon May 27 00:49:53 GMT 2024","789","Tests","test_VisualTests","TestVisual","","","Visual check of the Landing page",""
"passed","Mon May 27 00:48:18 GMT 2024","Mon May 27 00:48:18 GMT 2024","169","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Mon May 27 00:48:18 GMT 2024","Mon May 27 00:48:18 GMT 2024","292","Tests","test_Login","TestLogin","","","Successful login",""
"passed","Mon May 27 00:48:18 GMT 2024","Mon May 27 00:48:18 GMT 2024","172","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Mon May 27 00:48:19 GMT 2024","Mon May 27 00:48:20 GMT 2024","196","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Mon May 27 00:49:04 GMT 2024","Mon May 27 00:49:07 GMT 2024","2278","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"broken","Mon May 27 00:49:40 GMT 2024","Mon May 27 00:49:50 GMT 2024","10011","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"failed","Mon May 27 00:47:58 GMT 2024","Mon May 27 00:47:59 GMT 2024","380","Tests","test_Accessibility","TestAccessibility","","","Check the home page accessibility",""
"passed","Mon May 27 00:48:19 GMT 2024","Mon May 27 00:48:19 GMT 2024","546","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Mon May 27 00:48:54 GMT 2024","Mon May 27 00:49:04 GMT 2024","10058","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"failed","Mon May 27 00:47:58 GMT 2024","Mon May 27 00:47:58 GMT 2024","500","Tests","test_Accessibility","TestAccessibility","","","Check the landing page accessibility",""
"passed","Mon May 27 00:48:15 GMT 2024","Mon May 27 00:48:15 GMT 2024","258","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"passed","Mon May 27 00:48:17 GMT 2024","Mon May 27 00:48:18 GMT 2024","477","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Mon May 27 00:49:56 GMT 2024","Mon May 27 00:49:58 GMT 2024","1591","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page after burger button click",""
"passed","Mon May 27 00:48:20 GMT 2024","Mon May 27 00:48:20 GMT 2024","367","Tests","test_Login","TestLogin","","","Successful login",""
"passed","Mon May 27 00:48:19 GMT 2024","Mon May 27 00:48:19 GMT 2024","196","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Mon May 27 00:48:20 GMT 2024","Mon May 27 00:48:54 GMT 2024","34137","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"passed","Mon May 27 00:48:17 GMT 2024","Mon May 27 00:48:17 GMT 2024","343","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"passed","Mon May 27 00:48:11 GMT 2024","Mon May 27 00:48:12 GMT 2024","1215","Tests","test_Components","TestComponents","","","test_2[Chrome]",""
"broken","Mon May 27 00:49:54 GMT 2024","Mon May 27 00:49:55 GMT 2024","1684","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page after burger button click",""
"broken","Mon May 27 00:47:59 GMT 2024","Mon May 27 00:48:11 GMT 2024","12129","Tests","test_Components","TestComponents","","","test_1[Chrome]",""
"broken","Mon May 27 00:49:55 GMT 2024","Mon May 27 00:49:56 GMT 2024","699","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page",""
"passed","Mon May 27 00:48:18 GMT 2024","Mon May 27 00:48:18 GMT 2024","159","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Mon May 27 00:48:19 GMT 2024","Mon May 27 00:48:19 GMT 2024","185","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Mon May 27 00:49:50 GMT 2024","Mon May 27 00:49:52 GMT 2024","2082","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
