"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 08 07:47:49 GMT 2024","Wed May 08 07:47:51 GMT 2024","1479","Tests","test_ContactList","TestContactList","","","Contact list displays wright names",""
"passed","Wed May 08 07:47:51 GMT 2024","Wed May 08 07:47:52 GMT 2024","784","Tests","test_EmailReader","TestEmailReader","","","Check the latest notification email subject",""
"passed","Wed May 08 07:47:53 GMT 2024","Wed May 08 07:47:53 GMT 2024","164","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"skipped","Wed May 08 07:48:01 GMT 2024","Wed May 08 07:48:03 GMT 2024","1253","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page after burger button click",""
"passed","Wed May 08 07:47:52 GMT 2024","Wed May 08 07:47:52 GMT 2024","179","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"passed","Wed May 08 07:47:48 GMT 2024","Wed May 08 07:47:49 GMT 2024","1258","Tests","test_Components","TestComponents","","","test_2[Chrome]",""
"passed","Wed May 08 07:47:53 GMT 2024","Wed May 08 07:47:53 GMT 2024","413","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Wed May 08 07:47:53 GMT 2024","Wed May 08 07:47:53 GMT 2024","166","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"skipped","Wed May 08 07:47:59 GMT 2024","Wed May 08 07:47:59 GMT 2024","280","Tests","test_VisualTests","TestVisual","","","Visual check of the Landing page",""
"passed","Wed May 08 07:47:53 GMT 2024","Wed May 08 07:47:53 GMT 2024","155","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"failed","Wed May 08 07:47:53 GMT 2024","Wed May 08 07:47:54 GMT 2024","418","Tests","test_Login","TestLogin","","","Successful login",""
"skipped","Wed May 08 07:48:01 GMT 2024","Wed May 08 07:48:01 GMT 2024","378","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page",""
"failed","Wed May 08 07:47:35 GMT 2024","Wed May 08 07:47:36 GMT 2024","819","Tests","test_Accessibility","TestAccessibility","","","Check the home page accessibility",""
"skipped","Wed May 08 07:48:00 GMT 2024","Wed May 08 07:48:01 GMT 2024","1289","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page after burger button click",""
"broken","Wed May 08 07:47:36 GMT 2024","Wed May 08 07:47:48 GMT 2024","12243","Tests","test_Components","TestComponents","","","test_1[Chrome]",""
"failed","Wed May 08 07:47:56 GMT 2024","Wed May 08 07:47:57 GMT 2024","841","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"skipped","Wed May 08 07:47:59 GMT 2024","Wed May 08 07:48:00 GMT 2024","455","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page",""
"failed","Wed May 08 07:47:54 GMT 2024","Wed May 08 07:47:56 GMT 2024","1972","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"passed","Wed May 08 07:47:57 GMT 2024","Wed May 08 07:47:59 GMT 2024","1999","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"failed","Wed May 08 07:47:31 GMT 2024","Wed May 08 07:47:35 GMT 2024","3209","Tests","test_Accessibility","TestAccessibility","","","Check the landing page accessibility",""
