"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 08 14:26:24 GMT 2024","Wed May 08 14:26:25 GMT 2024","768","Tests","test_Accessibility","TestAccessibility","","","Check the landing page accessibility",""
"passed","Wed May 08 14:26:42 GMT 2024","Wed May 08 14:26:42 GMT 2024","160","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Wed May 08 14:26:42 GMT 2024","Wed May 08 14:26:42 GMT 2024","438","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"failed","Wed May 08 14:26:43 GMT 2024","Wed May 08 14:26:45 GMT 2024","1738","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"passed","Wed May 08 14:26:42 GMT 2024","Wed May 08 14:26:42 GMT 2024","172","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Wed May 08 14:26:50 GMT 2024","Wed May 08 14:26:51 GMT 2024","1591","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page after burger button click",""
"passed","Wed May 08 14:26:46 GMT 2024","Wed May 08 14:26:48 GMT 2024","2127","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"failed","Wed May 08 14:26:45 GMT 2024","Wed May 08 14:26:46 GMT 2024","849","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"passed","Wed May 08 14:26:40 GMT 2024","Wed May 08 14:26:41 GMT 2024","537","Tests","test_EmailReader","TestEmailReader","","","Check the latest notification email subject",""
"failed","Wed May 08 14:26:42 GMT 2024","Wed May 08 14:26:43 GMT 2024","358","Tests","test_Login","TestLogin","","","Successful login",""
"broken","Wed May 08 14:26:48 GMT 2024","Wed May 08 14:26:49 GMT 2024","730","Tests","test_VisualTests","TestVisual","","","Visual check of the Landing page",""
"broken","Wed May 08 14:26:49 GMT 2024","Wed May 08 14:26:50 GMT 2024","784","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page",""
"broken","Wed May 08 14:26:26 GMT 2024","Wed May 08 14:26:38 GMT 2024","12332","Tests","test_Components","TestComponents","","","test_1[Chrome]",""
"passed","Wed May 08 14:26:38 GMT 2024","Wed May 08 14:26:39 GMT 2024","1170","Tests","test_Components","TestComponents","","","test_2[Chrome]",""
"passed","Wed May 08 14:26:42 GMT 2024","Wed May 08 14:26:42 GMT 2024","169","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Wed May 08 14:26:41 GMT 2024","Wed May 08 14:26:41 GMT 2024","202","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"failed","Wed May 08 14:26:25 GMT 2024","Wed May 08 14:26:25 GMT 2024","532","Tests","test_Accessibility","TestAccessibility","","","Check the home page accessibility",""
"passed","Wed May 08 14:26:39 GMT 2024","Wed May 08 14:26:40 GMT 2024","829","Tests","test_ContactList","TestContactList","","","Contact list displays wright names",""
"broken","Wed May 08 14:26:52 GMT 2024","Wed May 08 14:26:54 GMT 2024","1588","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page after burger button click",""
"broken","Wed May 08 14:26:51 GMT 2024","Wed May 08 14:26:52 GMT 2024","697","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page",""
