"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 27 00:51:51 GMT 2024","Thu Jun 27 00:51:52 GMT 2024","1587","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page after burger button click",""
"passed","Thu Jun 27 00:50:13 GMT 2024","Thu Jun 27 00:50:13 GMT 2024","420","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Thu Jun 27 00:50:49 GMT 2024","Thu Jun 27 00:50:59 GMT 2024","10034","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"passed","Thu Jun 27 00:50:04 GMT 2024","Thu Jun 27 00:50:04 GMT 2024","231","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"passed","Thu Jun 27 00:50:13 GMT 2024","Thu Jun 27 00:50:14 GMT 2024","170","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"failed","Thu Jun 27 00:49:43 GMT 2024","Thu Jun 27 00:49:44 GMT 2024","399","Tests","test_Accessibility","TestAccessibility","","","Check the home page accessibility",""
"broken","Thu Jun 27 00:51:50 GMT 2024","Thu Jun 27 00:51:50 GMT 2024","699","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page",""
"broken","Thu Jun 27 00:49:44 GMT 2024","Thu Jun 27 00:49:56 GMT 2024","12208","Tests","test_Components","TestComponents","","","test_1[Chrome]",""
"passed","Thu Jun 27 00:50:15 GMT 2024","Thu Jun 27 00:50:15 GMT 2024","183","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Thu Jun 27 00:50:13 GMT 2024","Thu Jun 27 00:50:13 GMT 2024","163","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Thu Jun 27 00:50:02 GMT 2024","Thu Jun 27 00:50:04 GMT 2024","1180","Tests","test_EmailReader","TestEmailReader","","","Check the latest notification email subject",""
"passed","Thu Jun 27 00:49:56 GMT 2024","Thu Jun 27 00:49:57 GMT 2024","1231","Tests","test_Components","TestComponents","","","test_2[Chrome]",""
"passed","Thu Jun 27 00:50:14 GMT 2024","Thu Jun 27 00:50:14 GMT 2024","292","Tests","test_Login","TestLogin","","","Successful login",""
"broken","Thu Jun 27 00:51:48 GMT 2024","Thu Jun 27 00:51:50 GMT 2024","1594","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page after burger button click",""
"passed","Thu Jun 27 00:50:14 GMT 2024","Thu Jun 27 00:50:15 GMT 2024","647","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Thu Jun 27 00:50:02 GMT 2024","Thu Jun 27 00:50:02 GMT 2024","416","Tests","test_ContactList","TestContactList","","","Contact list displays wright names",""
"broken","Thu Jun 27 00:51:34 GMT 2024","Thu Jun 27 00:51:44 GMT 2024","10062","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"passed","Thu Jun 27 00:50:15 GMT 2024","Thu Jun 27 00:50:16 GMT 2024","618","Tests","test_Login","TestLogin","","","Successful login",""
"broken","Thu Jun 27 00:51:01 GMT 2024","Thu Jun 27 00:51:34 GMT 2024","33292","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"broken","Thu Jun 27 00:50:16 GMT 2024","Thu Jun 27 00:50:49 GMT 2024","32341","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"passed","Thu Jun 27 00:50:15 GMT 2024","Thu Jun 27 00:50:15 GMT 2024","196","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"failed","Thu Jun 27 00:49:43 GMT 2024","Thu Jun 27 00:49:43 GMT 2024","499","Tests","test_Accessibility","TestAccessibility","","","Check the landing page accessibility",""
"passed","Thu Jun 27 00:51:44 GMT 2024","Thu Jun 27 00:51:46 GMT 2024","2055","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"passed","Thu Jun 27 00:50:59 GMT 2024","Thu Jun 27 00:51:01 GMT 2024","1997","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"broken","Thu Jun 27 00:51:47 GMT 2024","Thu Jun 27 00:51:48 GMT 2024","759","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page",""
"broken","Thu Jun 27 00:51:47 GMT 2024","Thu Jun 27 00:51:47 GMT 2024","730","Tests","test_VisualTests","TestVisual","","","Visual check of the Landing page",""
"passed","Thu Jun 27 00:50:13 GMT 2024","Thu Jun 27 00:50:13 GMT 2024","167","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Thu Jun 27 00:50:15 GMT 2024","Thu Jun 27 00:50:15 GMT 2024","197","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Thu Jun 27 00:50:11 GMT 2024","Thu Jun 27 00:50:13 GMT 2024","1288","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
