"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 15 10:08:05 GMT 2024","Wed May 15 10:08:06 GMT 2024","857","Tests","test_Login","TestLogin","","","Successful login",""
"passed","Wed May 15 10:08:03 GMT 2024","Wed May 15 10:08:03 GMT 2024","162","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Wed May 15 10:08:03 GMT 2024","Wed May 15 10:08:04 GMT 2024","302","Tests","test_Login","TestLogin","","","Successful login",""
"broken","Wed May 15 10:08:39 GMT 2024","Wed May 15 10:08:49 GMT 2024","10040","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"broken","Wed May 15 10:09:25 GMT 2024","Wed May 15 10:09:36 GMT 2024","10051","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"passed","Wed May 15 10:07:13 GMT 2024","Wed May 15 10:07:14 GMT 2024","886","Tests","test_EmailReader","TestEmailReader","","","Check the latest notification email subject",""
"broken","Wed May 15 10:09:38 GMT 2024","Wed May 15 10:09:39 GMT 2024","740","Tests","test_VisualTests","TestVisual","","","Visual check of the Landing page",""
"passed","Wed May 15 10:07:14 GMT 2024","Wed May 15 10:07:15 GMT 2024","206","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"passed","Wed May 15 10:07:59 GMT 2024","Wed May 15 10:08:02 GMT 2024","2791","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"passed","Wed May 15 10:08:49 GMT 2024","Wed May 15 10:08:51 GMT 2024","2081","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"broken","Wed May 15 10:08:06 GMT 2024","Wed May 15 10:08:39 GMT 2024","33124","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"passed","Wed May 15 10:07:11 GMT 2024","Wed May 15 10:07:12 GMT 2024","1206","Tests","test_Components","TestComponents","","","test_2[Chrome]",""
"passed","Wed May 15 10:08:05 GMT 2024","Wed May 15 10:08:05 GMT 2024","201","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Wed May 15 10:09:39 GMT 2024","Wed May 15 10:09:40 GMT 2024","781","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page",""
"passed","Wed May 15 10:08:02 GMT 2024","Wed May 15 10:08:03 GMT 2024","413","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"failed","Wed May 15 10:06:58 GMT 2024","Wed May 15 10:06:58 GMT 2024","420","Tests","test_Accessibility","TestAccessibility","","","Check the landing page accessibility",""
"passed","Wed May 15 10:08:05 GMT 2024","Wed May 15 10:08:05 GMT 2024","188","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Wed May 15 10:08:05 GMT 2024","Wed May 15 10:08:05 GMT 2024","200","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"failed","Wed May 15 10:06:58 GMT 2024","Wed May 15 10:06:59 GMT 2024","352","Tests","test_Accessibility","TestAccessibility","","","Check the home page accessibility",""
"passed","Wed May 15 10:08:03 GMT 2024","Wed May 15 10:08:03 GMT 2024","168","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Wed May 15 10:07:13 GMT 2024","Wed May 15 10:07:13 GMT 2024","495","Tests","test_ContactList","TestContactList","","","Contact list displays wright names",""
"broken","Wed May 15 10:06:59 GMT 2024","Wed May 15 10:07:11 GMT 2024","12246","Tests","test_Components","TestComponents","","","test_1[Chrome]",""
"broken","Wed May 15 10:09:41 GMT 2024","Wed May 15 10:09:42 GMT 2024","738","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page",""
"broken","Wed May 15 10:09:42 GMT 2024","Wed May 15 10:09:44 GMT 2024","1605","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page after burger button click",""
"broken","Wed May 15 10:09:40 GMT 2024","Wed May 15 10:09:41 GMT 2024","1638","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page after burger button click",""
"passed","Wed May 15 10:08:04 GMT 2024","Wed May 15 10:08:05 GMT 2024","768","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Wed May 15 10:08:03 GMT 2024","Wed May 15 10:08:03 GMT 2024","171","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Wed May 15 10:08:52 GMT 2024","Wed May 15 10:09:25 GMT 2024","33769","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"passed","Wed May 15 10:09:36 GMT 2024","Wed May 15 10:09:38 GMT 2024","2384","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
