"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 08 13:45:03 GMT 2024","Wed May 08 13:45:04 GMT 2024","1616","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page after burger button click",""
"passed","Wed May 08 13:44:53 GMT 2024","Wed May 08 13:44:53 GMT 2024","297","Tests","test_Login","TestLogin","","","Successful login",""
"failed","Wed May 08 13:44:35 GMT 2024","Wed May 08 13:44:35 GMT 2024","386","Tests","test_Accessibility","TestAccessibility","","","Check the home page accessibility",""
"passed","Wed May 08 13:44:53 GMT 2024","Wed May 08 13:44:55 GMT 2024","1499","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"passed","Wed May 08 13:44:52 GMT 2024","Wed May 08 13:44:52 GMT 2024","186","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"passed","Wed May 08 13:44:56 GMT 2024","Wed May 08 13:44:58 GMT 2024","2686","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"passed","Wed May 08 13:44:50 GMT 2024","Wed May 08 13:44:51 GMT 2024","1033","Tests","test_EmailReader","TestEmailReader","","","Check the latest notification email subject",""
"passed","Wed May 08 13:44:53 GMT 2024","Wed May 08 13:44:53 GMT 2024","170","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Wed May 08 13:44:49 GMT 2024","Wed May 08 13:44:50 GMT 2024","770","Tests","test_ContactList","TestContactList","","","Contact list displays wright names",""
"passed","Wed May 08 13:44:52 GMT 2024","Wed May 08 13:44:53 GMT 2024","158","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Wed May 08 13:45:02 GMT 2024","Wed May 08 13:45:03 GMT 2024","716","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page",""
"broken","Wed May 08 13:45:00 GMT 2024","Wed May 08 13:45:02 GMT 2024","1643","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page after burger button click",""
"passed","Wed May 08 13:44:52 GMT 2024","Wed May 08 13:44:52 GMT 2024","408","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"failed","Wed May 08 13:44:35 GMT 2024","Wed May 08 13:44:35 GMT 2024","449","Tests","test_Accessibility","TestAccessibility","","","Check the landing page accessibility",""
"failed","Wed May 08 13:44:55 GMT 2024","Wed May 08 13:44:56 GMT 2024","876","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"broken","Wed May 08 13:44:59 GMT 2024","Wed May 08 13:45:00 GMT 2024","797","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page",""
"broken","Wed May 08 13:44:36 GMT 2024","Wed May 08 13:44:48 GMT 2024","12381","Tests","test_Components","TestComponents","","","test_1[Chrome]",""
"passed","Wed May 08 13:44:48 GMT 2024","Wed May 08 13:44:49 GMT 2024","1124","Tests","test_Components","TestComponents","","","test_2[Chrome]",""
"passed","Wed May 08 13:44:53 GMT 2024","Wed May 08 13:44:53 GMT 2024","169","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Wed May 08 13:44:59 GMT 2024","Wed May 08 13:44:59 GMT 2024","736","Tests","test_VisualTests","TestVisual","","","Visual check of the Landing page",""
