"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 08 14:21:10 GMT 2024","Wed May 08 14:21:11 GMT 2024","401","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Wed May 08 14:21:14 GMT 2024","Wed May 08 14:21:17 GMT 2024","2632","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"broken","Wed May 08 14:21:21 GMT 2024","Wed May 08 14:21:23 GMT 2024","1586","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page after burger button click",""
"broken","Wed May 08 14:21:19 GMT 2024","Wed May 08 14:21:20 GMT 2024","1593","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page after burger button click",""
"passed","Wed May 08 14:21:11 GMT 2024","Wed May 08 14:21:11 GMT 2024","164","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Wed May 08 14:21:08 GMT 2024","Wed May 08 14:21:09 GMT 2024","797","Tests","test_ContactList","TestContactList","","","Contact list displays wright names",""
"failed","Wed May 08 14:20:54 GMT 2024","Wed May 08 14:20:54 GMT 2024","540","Tests","test_Accessibility","TestAccessibility","","","Check the home page accessibility",""
"passed","Wed May 08 14:21:10 GMT 2024","Wed May 08 14:21:10 GMT 2024","187","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"broken","Wed May 08 14:20:54 GMT 2024","Wed May 08 14:21:07 GMT 2024","12342","Tests","test_Components","TestComponents","","","test_1[Chrome]",""
"broken","Wed May 08 14:21:17 GMT 2024","Wed May 08 14:21:18 GMT 2024","728","Tests","test_VisualTests","TestVisual","","","Visual check of the Landing page",""
"failed","Wed May 08 14:20:53 GMT 2024","Wed May 08 14:20:54 GMT 2024","436","Tests","test_Accessibility","TestAccessibility","","","Check the landing page accessibility",""
"broken","Wed May 08 14:21:18 GMT 2024","Wed May 08 14:21:19 GMT 2024","786","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page",""
"failed","Wed May 08 14:21:11 GMT 2024","Wed May 08 14:21:12 GMT 2024","351","Tests","test_Login","TestLogin","","","Successful login",""
"passed","Wed May 08 14:21:09 GMT 2024","Wed May 08 14:21:10 GMT 2024","642","Tests","test_EmailReader","TestEmailReader","","","Check the latest notification email subject",""
"failed","Wed May 08 14:21:13 GMT 2024","Wed May 08 14:21:14 GMT 2024","868","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"passed","Wed May 08 14:21:07 GMT 2024","Wed May 08 14:21:08 GMT 2024","1131","Tests","test_Components","TestComponents","","","test_2[Chrome]",""
"passed","Wed May 08 14:21:11 GMT 2024","Wed May 08 14:21:11 GMT 2024","170","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Wed May 08 14:21:11 GMT 2024","Wed May 08 14:21:11 GMT 2024","167","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Wed May 08 14:21:20 GMT 2024","Wed May 08 14:21:21 GMT 2024","693","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page",""
"passed","Wed May 08 14:21:12 GMT 2024","Wed May 08 14:21:13 GMT 2024","1549","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
